"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "XML", "Markdown", "Log", "HTML", "comment", "blank", "total"
"e:\Dev\React\SidiroIOT\client\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 31, 13, 142
"e:\Dev\React\SidiroIOT\client\src\services\activate.service.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"e:\Dev\React\SidiroIOT\client\src\services\auth.service.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\Dev\React\SidiroIOT\client\src\services\device.service.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\Dev\React\SidiroIOT\client\src\services\file.service.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"e:\Dev\React\SidiroIOT\client\src\services\ipconfig.service.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"e:\Dev\React\SidiroIOT\client\src\services\isAuthenticated.service.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\Dev\React\SidiroIOT\client\src\services\user.service.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"e:\Dev\React\SidiroIOT\client\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\Dev\React\SidiroIOT\client\src\translations.js", "JavaScript", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 406
"e:\Dev\React\SidiroIOT\client\src\workers\devices.worker.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 3, 35
"e:\Dev\React\SidiroIOT\client\src\workers\hwinfo.worker.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 2, 31
"Total", "-", 5065, 12, 8, 16335, 7, 37, 5, 22, 132, 407, 22030
